Taxa,Metabolite,Potential Score
Thermomonospora,L-Formylkynurenine,1.833545e-05
Timonella,L-Formylkynurenine,1.833545e-05
Tolumonas,L-Formylkynurenine,1.833545e-05
Traorella,L-Formylkynurenine,1.833545e-05
Trichodesmium,L-Formylkynurenine,1.833545e-05
Tropheryma,L-Formylkynurenine,1.833545e-05
Truepera,L-Formylkynurenine,1.833545e-05
Turicimonas,L-Formylkynurenine,1.833545e-05
Tyzzerella,L-Formylkynurenine,1.833545e-05
unclassified_Candidatus_Melainabacteria,L-Formylkynurenine,1.833545e-05
Veillonella,L-Formylkynurenine,1.833545e-05
Waddlia,L-Formylkynurenine,1.833545e-05
Weeksella,L-Formylkynurenine,1.833545e-05
Williamwhitmania,L-Formylkynurenine,1.833545e-05
Listeria,3-Hydroxyanthranilate,1.215890e-04
Dyadobacter,L-Kynurenine,1.021198e-03
Deinococcus,L-Kynurenine,1.746149e-05
Paracoccus,L-Kynurenine,1.746154e-05
Leptospira,L-Kynurenine,1.746185e-05
Moraxella,L-Kynurenine,1.746190e-05
Urinicoccus,L-Kynurenine,1.746206e-05
Agrobacterium,L-Kynurenine,1.746221e-05
Arcobacter,L-Kynurenine,1.746221e-05
Butyrivibrio,L-Kynurenine,1.746221e-05
Kocuria,L-Kynurenine,1.746226e-05
Weissella,L-Kynurenine,1.746226e-05
Caulobacter,L-Kynurenine,1.746231e-05
Methylobacterium,L-Kynurenine,1.746231e-05
Stenotrophomonas,L-Kynurenine,1.746231e-05
Brachyspira,L-Kynurenine,1.746237e-05
Cutibacterium,L-Kynurenine,1.746237e-05
Rhodobacter,L-Kynurenine,1.746237e-05
Serratia,L-Kynurenine,1.746237e-05
Acidaminococcus,L-Kynurenine,1.746242e-05
Dialister,L-Kynurenine,1.746242e-05
Dysgonomonas,L-Kynurenine,1.746242e-05
Rothia,L-Kynurenine,1.746242e-05
Sinorhizobium,L-Kynurenine,1.746242e-05
unclassified_Clostridiales_Family_XIII._Incertae_Sedis,L-Kynurenine,1.746242e-05
Cellulosimicrobium,L-Kynurenine,1.746247e-05
Coprococcus,L-Kynurenine,1.746247e-05
Eggerthella,L-Kynurenine,1.746247e-05
Hungatella,L-Kynurenine,1.746247e-05
Lactococcus,L-Kynurenine,1.746247e-05
Megamonas,L-Kynurenine,1.746247e-05
Nitrosococcus,L-Kynurenine,1.746247e-05
Oxalobacter,L-Kynurenine,1.746247e-05
Proteus,L-Kynurenine,1.746247e-05
Scardovia,L-Kynurenine,1.746247e-05
Slackia,L-Kynurenine,1.746247e-05
Trueperella,L-Kynurenine,1.746247e-05
unknown,L-Formylkynurenine,1.890268e-05
Flavobacterium,3-Hydroxyanthranilate,1.893143e-05
Legionella,3-Hydroxyanthranilate,1.893165e-05
Rhizobium,3-Hydroxyanthranilate,1.893294e-05
Sphingomonas,3-Hydroxyanthranilate,1.893359e-05
Cellulomonas,3-Hydroxyanthranilate,1.893488e-05
Mycoplasma,3-Hydroxyanthranilate,1.893488e-05
Neobacillus,3-Hydroxyanthranilate,1.893488e-05
Nitrosomonas,3-Hydroxyanthranilate,1.893488e-05
Pediococcus,3-Hydroxyanthranilate,1.893510e-05
Sphingobium,3-Hydroxyanthranilate,1.893510e-05
Brachybacterium,3-Hydroxyanthranilate,1.893531e-05
Janibacter,3-Hydroxyanthranilate,1.893531e-05
Lacticaseibacillus,3-Hydroxyanthranilate,1.893531e-05
Roseomonas,3-Hydroxyanthranilate,1.893553e-05
Sphingobacterium,3-Hydroxyanthranilate,1.893553e-05
Aerococcus,3-Hydroxyanthranilate,1.893575e-05
Aneurinibacillus,3-Hydroxyanthranilate,1.893575e-05
Candidatus_Phytoplasma,3-Hydroxyanthranilate,1.893575e-05
Dyadobacter,3-Hydroxyanthranilate,1.893575e-05
Frankia,3-Hydroxyanthranilate,1.893575e-05
Olsenella,3-Hydroxyanthranilate,1.893575e-05
Ruminiclostridium,3-Hydroxyanthranilate,1.893575e-05
Sporosarcina,3-Hydroxyanthranilate,1.893575e-05
Acidipropionibacterium,3-Hydroxyanthranilate,1.893596e-05
Aeromicrobium,3-Hydroxyanthranilate,1.893596e-05
Alkaliphilus,3-Hydroxyanthranilate,1.893596e-05
Meiothermus,3-Hydroxyanthranilate,1.893596e-05
Pelobacter,3-Hydroxyanthranilate,1.893596e-05
Propionibacterium,3-Hydroxyanthranilate,1.893596e-05
Thermosipho,3-Hydroxyanthranilate,1.893596e-05
Thermotoga,3-Hydroxyanthranilate,1.893596e-05
Aliivibrio,3-Hydroxyanthranilate,1.893618e-05
Brevundimonas,3-Hydroxyanthranilate,1.893618e-05
Caldicellulosiruptor,3-Hydroxyanthranilate,1.893618e-05
Chlorobaculum,3-Hydroxyanthranilate,1.893618e-05
