loaded_uid	ncbi_taxon_id	taxon_rank_level	relative_abundance	scientific_name
35735.0	44748	genus	0.144284	Sporobacter
35735.0	990721	genus	0.132893	Christensenella
35735.0	1386	genus	0.117705	Bacillus
35735.0	1301	genus	0.0911266	Streptococcus
35735.0	830	genus	0.0911266	Butyrivibrio
35735.0	84111	genus	0.0873296	Eggerthella
35735.0	40544	genus	0.0797357	Sutterella
35735.0	84108	genus	0.0569541	Slackia
35735.0	52784	genus	0.0341725	Anaerofilum
35735.0	841	genus	0.0303755	Roseburia
35735.0	528	genus	0.0265786	Ochrobactrum
35735.0	507	genus	0.0227816	Alcaligenes
35735.0	1357	genus	0.0151878	Lactococcus
35735.0	838	genus	0.0151878	Prevotella
35735.0	61434	genus	0.0151878	Dehalococcoides
35735.0	1663	genus	0.0151878	Arthrobacter
35735.0	1030	genus	0.0151878	Thiothrix
35735.0	117563	genus	0.0113908	Granulicatella
35735.0	2147	genus	0.0113908	Acholeplasma
35735.0	1269	genus	0.0113908	Micrococcus
35735.0	872	genus	0.0113908	Desulfovibrio
35735.0	44249	genus	0.0113908	Paenibacillus
35735.0	469	genus	0.0113908	Acinetobacter
35735.0	35832	genus	0.00759388	Bilophila
35735.0	61170	genus	0.00759388	Holdemania
35735.0	1486726	genus	0.00759388	Pseudobacteroides
35735.0	1678	genus	0.00759388	Bifidobacterium
35735.0	561	genus	0.00759388	Escherichia
35735.0	39948	genus	0.00759388	Dialister
35735.0	79206	genus	0.00759388	Desulfosporosinus
35735.0	1827	genus	0.00759388	Rhodococcus
35735.0	1506577	genus	0.00379694	Tyzzerella
35735.0	2299	genus	0.00379694	Desulfosarcina
35735.0	1243	genus	0.00379694	Leuconostoc
35735.0	1569	genus	0.00379694	Sporosarcina
35735.0	265980	genus	0.00379694	Alkalimonas
35735.0	233189	genus	0.00379694	Anaerolinea
35735.0	1051	genus	0.00379694	Ectothiorhodospira
35735.0	413496	genus	0.00379694	Cronobacter
35735.0	445	genus	0.00379694	Legionella
35735.0	252965	genus	0.00379694	Mahella
35735.0	41275	genus	0.00379694	Brevundimonas
35735.0	40222	genus	0.00379694	Methylophaga
35735.0	2132	genus	0.00379694	Spiroplasma
35735.0	84406	genus	0.00379694	Virgibacillus
35735.0	28453	genus	0.00379694	Sphingobacterium
35735.0	135575	genus	0.00379694	Idiomarina
35735.0	1578	genus	0.00379694	Lactobacillus
35735.0	642	genus	0.00379694	Aeromonas
	-1	genus	35.4065	Unknown
35736.0	1716	genus	29.0513	Corynebacterium
35736.0	816	genus	14.6653	Bacteroides
35736.0	216851	genus	14.098	Faecalibacterium
35736.0	375288	genus	8.51996	Parabacteroides
35736.0	1578	genus	4.85217	Lactobacillus
35736.0	1279	genus	4.76988	Staphylococcus
35736.0	239934	genus	2.81256	Akkermansia
35736.0	904	genus	2.75378	Acidaminococcus
35736.0	572511	genus	1.58114	Blautia
35736.0	239759	genus	1.00217	Alistipes
35736.0	459786	genus	0.611297	Oscillibacter
35736.0	44748	genus	0.534885	Sporobacter
35736.0	397864	genus	0.481984	Barnesiella
35736.0	577309	genus	0.288015	Paraprevotella
35736.0	1253	genus	0.249809	Pediococcus
35736.0	1263	genus	0.24687	Ruminococcus
35736.0	836	genus	0.211603	Porphyromonas
35736.0	41273	genus	0.199847	Tissierella
35736.0	872	genus	0.182214	Desulfovibrio
35736.0	1485	genus	0.170458	Clostridium
35736.0	1506553	genus	0.170458	Lachnoclostridium
35736.0	1730	genus	0.161641	Eubacterium
35736.0	1508657	genus	0.144008	Ruminiclostridium
35736.0	1301	genus	0.129313	Streptococcus
35736.0	189330	genus	0.111679	Dorea
35736.0	1386	genus	0.102863	Bacillus
35736.0	838	genus	0.08229	Prevotella
35736.0	39948	genus	0.0734732	Dialister
35736.0	2147	genus	0.0675954	Acholeplasma
35736.0	1505663	genus	0.0617175	Erysipelatoclostridium
35736.0	184869	genus	0.0470229	Varibaculum
35736.0	1866885	genus	0.0470229	Mycobacterium fortuitum complex
35736.0	841	genus	0.0440839	Roseburia
35736.0	2172	genus	0.0264504	Methanobrevibacter
35736.0	146813	genus	0.0235114	Dendrosporobacter
35736.0	33042	genus	0.0205725	Coprococcus
35736.0	244127	genus	0.0205725	Anaerotruncus
35736.0	165779	genus	0.0205725	Anaerococcus
35736.0	1654	genus	0.0205725	Actinomyces
35736.0	207244	genus	0.0205725	Anaerostipes
35736.0	194	genus	0.0176336	Campylobacter
35736.0	82802	genus	0.0176336	Trichococcus
35736.0	84111	genus	0.0176336	Eggerthella
35736.0	644652	genus	0.0146946	Gordonibacter
35736.0	1357	genus	0.0146946	Lactococcus
35736.0	1827	genus	0.0146946	Rhodococcus
35736.0	86331	genus	0.0146946	Mogibacterium
35736.0	1350	genus	0.0146946	Enterococcus
35736.0	1678	genus	0.0117557	Bifidobacterium
35736.0	2701	genus	0.0117557	Gardnerella
35736.0	270497	genus	0.00881679	Catabacter
35736.0	2053	genus	0.00881679	Gordonia
35736.0	162289	genus	0.00881679	Peptoniphilus
35736.0	314318	genus	0.00881679	Prolixibacter
35736.0	1243	genus	0.00587786	Leuconostoc
35736.0	2050	genus	0.00587786	Mobiluncus
35736.0	428711	genus	0.00587786	Jonquetella
35736.0	28453	genus	0.00587786	Sphingobacterium
35736.0	906	genus	0.00587786	Megasphaera
35736.0	590	genus	0.00587786	Salmonella
35736.0	1883	genus	0.00587786	Streptomyces
35736.0	118747	genus	0.00587786	Bulleidia
35736.0	150022	genus	0.00587786	Finegoldia
35736.0	66831	genus	0.00293893	Facklamia
35736.0	2152	genus	0.00293893	Asteroleplasma
35736.0	2129	genus	0.00293893	Ureaplasma
35736.0	689697	genus	0.00293893	Salisaeta
35736.0	2093	genus	0.00293893	Mycoplasma
35736.0	48463	genus	0.00293893	Prosthecobacter
35736.0	140458	genus	0.00293893	Thermacetogenium
35736.0	596499	genus	0.00293893	Nitriliruptor
35736.0	79206	genus	0.00293893	Desulfosporosinus
35736.0	2060	genus	0.00293893	Tsukamurella
35736.0	990721	genus	0.00293893	Christensenella
35736.0	638847	genus	0.00293893	Pyramidobacter
35736.0	1843210	genus	0.00293893	Anaerocolumna
35736.0	1279388	genus	0.00293893	Kandleria
35736.0	55080	genus	0.00293893	Brevibacillus
35736.0	1696	genus	0.00293893	Brevibacterium
35736.0	233191	genus	0.00293893	Caldilinea
35736.0	561	genus	0.00293893	Escherichia
35736.0	45654	genus	0.00293893	Desulfonema
35736.0	848	genus	0.00293893	Fusobacterium
35736.0	795750	genus	0.00293893	Ignavibacterium
35736.0	42255	genus	0.00293893	Rubrobacter
35736.0	670486	genus	0.00293893	Dehalogenimonas
35736.0	1763	genus	0.00293893	Mycobacterium
35736.0	84567	genus	0.00293893	Pedobacter
35736.0	2735	genus	0.00293893	Verrucomicrobium
35736.0	37914	genus	0.00293893	Dietzia
35736.0	286	genus	0.00293893	Pseudomonas
	-1	genus	10.8623	Unknown
35737.0	239934	genus	15.0811	Akkermansia
35737.0	816	genus	5.93196	Bacteroides
35737.0	1508657	genus	1.9912	Ruminiclostridium
35737.0	216851	genus	0.85895	Faecalibacterium
35737.0	1578	genus	0.720997	Lactobacillus
35737.0	1357	genus	0.588251	Lactococcus
35737.0	1485	genus	0.536193	Clostridium
35737.0	375288	genus	0.484135	Parabacteroides
35737.0	1263	genus	0.481533	Ruminococcus
35737.0	239759	genus	0.471121	Alistipes
35737.0	572511	genus	0.426872	Blautia
35737.0	1573535	genus	0.309743	Holdemanella
35737.0	838	genus	0.294125	Prevotella
35737.0	459786	genus	0.283714	Oscillibacter
35737.0	397864	genus	0.221245	Barnesiella
35737.0	44748	genus	0.187407	Sporobacter
35737.0	46255	genus	0.169187	Weissella
35737.0	2172	genus	0.140555	Methanobrevibacter
35737.0	1301	genus	0.0911008	Streptococcus
35737.0	118747	genus	0.0884979	Bulleidia
35737.0	1505663	genus	0.0884979	Erysipelatoclostridium
35737.0	872	genus	0.0806892	Desulfovibrio
35737.0	338	genus	0.0702777	Xanthomonas
35737.0	561	genus	0.065072	Escherichia
35737.0	990721	genus	0.0546605	Christensenella
35737.0	86331	genus	0.0494547	Mogibacterium
35737.0	1716	genus	0.0468518	Corynebacterium
35737.0	1506577	genus	0.0442489	Tyzzerella
35737.0	1350	genus	0.0442489	Enterococcus
35737.0	189330	genus	0.0364403	Dorea
35737.0	1730	genus	0.0364403	Eubacterium
35737.0	1506553	genus	0.0338374	Lachnoclostridium
35737.0	577309	genus	0.0286317	Paraprevotella
35737.0	84111	genus	0.0286317	Eggerthella
35737.0	1279	genus	0.0260288	Staphylococcus
35737.0	648802	genus	0.0234259	Rummeliibacillus
35737.0	2147	genus	0.020823	Acholeplasma
35737.0	1678	genus	0.0182202	Bifidobacterium
35737.0	283168	genus	0.0156173	Odoribacter
35737.0	165779	genus	0.0156173	Anaerococcus
35737.0	836	genus	0.0130144	Porphyromonas
35737.0	724	genus	0.0130144	Haemophilus
35737.0	590	genus	0.0104115	Salmonella
35737.0	100175	genus	0.0104115	Papillibacter
35737.0	41273	genus	0.0104115	Tissierella
35737.0	2132	genus	0.0104115	Spiroplasma
35737.0	2735	genus	0.00780864	Verrucomicrobium
35737.0	34037	genus	0.00780864	Rahnella
35737.0	48463	genus	0.00780864	Prosthecobacter
35737.0	80865	genus	0.00780864	Delftia
35737.0	32207	genus	0.00780864	Rothia
35737.0	33042	genus	0.00780864	Coprococcus
35737.0	1505657	genus	0.00780864	Intestinibacter
35737.0	620	genus	0.00780864	Shigella
35737.0	39948	genus	0.00520576	Dialister
35737.0	195950	genus	0.00520576	Tannerella
35737.0	286	genus	0.00520576	Pseudomonas
35737.0	270497	genus	0.00520576	Catabacter
35737.0	1654	genus	0.00520576	Actinomyces
35737.0	244127	genus	0.00520576	Anaerotruncus
35737.0	44249	genus	0.00520576	Paenibacillus
35737.0	84108	genus	0.00520576	Slackia
35737.0	1471399	genus	0.00520576	Draconibacterium
35737.0	445	genus	0.00520576	Legionella
35737.0	40323	genus	0.00520576	Stenotrophomonas
35737.0	35832	genus	0.00520576	Bilophila
35737.0	1243	genus	0.00260288	Leuconostoc
35737.0	1827	genus	0.00260288	Rhodococcus
35737.0	866673	genus	0.00260288	Marinifilum
35737.0	830	genus	0.00260288	Butyrivibrio
35737.0	79328	genus	0.00260288	Chitinophaga
35737.0	1386	genus	0.00260288	Bacillus
35737.0	416916	genus	0.00260288	Aggregatibacter
35737.0	233189	genus	0.00260288	Anaerolinea
35737.0	226	genus	0.00260288	Alteromonas
35737.0	2742	genus	0.00260288	Marinobacter
35737.0	2747	genus	0.00260288	Carnobacterium
35737.0	508459	genus	0.00260288	Cloacibacillus
35737.0	413496	genus	0.00260288	Cronobacter
35737.0	670486	genus	0.00260288	Dehalogenimonas
35737.0	518753	genus	0.00260288	Luteolibacter
35737.0	898	genus	0.00260288	Desulfomicrobium
35737.0	1030	genus	0.00260288	Thiothrix
35737.0	61434	genus	0.00260288	Dehalococcoides
35737.0	469	genus	0.00260288	Acinetobacter
35737.0	150022	genus	0.00260288	Finegoldia
35737.0	642	genus	0.00260288	Aeromonas
35737.0	579	genus	0.00260288	Kluyvera
35737.0	586	genus	0.00260288	Providencia
35737.0	82802	genus	0.00260288	Trichococcus
35737.0	1253	genus	0.00260288	Pediococcus
35737.0	84567	genus	0.00260288	Pedobacter
35737.0	59753	genus	0.00260288	Alcanivorax
35737.0	129577	genus	0.00260288	Oceanimonas
35737.0	90243	genus	0.00260288	Oligella
35737.0	33057	genus	0.00260288	Thauera
	-1	genus	69.4656	Unknown
35738.0	816	genus	20.1255	Bacteroides
35738.0	216851	genus	15.1317	Faecalibacterium
35738.0	1508657	genus	10.0628	Ruminiclostridium
35738.0	239759	genus	3.08496	Alistipes
35738.0	33042	genus	2.60023	Coprococcus
35738.0	1506553	genus	2.48751	Lachnoclostridium
35738.0	841	genus	2.17563	Roseburia
35738.0	44748	genus	1.76605	Sporobacter
35738.0	459786	genus	1.5406	Oscillibacter
35738.0	572511	genus	1.45418	Blautia
35738.0	397864	genus	1.42412	Barnesiella
35738.0	375288	genus	1.4166	Parabacteroides
35738.0	836	genus	1.07842	Porphyromonas
35738.0	1678	genus	1.00327	Bifidobacterium
35738.0	577310	genus	0.875512	Parasutterella
35738.0	1505663	genus	0.74024	Erysipelatoclostridium
35738.0	1506577	genus	0.683876	Tyzzerella
35738.0	838	genus	0.552362	Prevotella
35738.0	1730	genus	0.488483	Eubacterium
35738.0	1263	genus	0.360726	Ruminococcus
35738.0	2147	genus	0.289332	Acholeplasma
35738.0	1716	genus	0.27806	Corynebacterium
35738.0	283168	genus	0.274302	Odoribacter
35738.0	41273	genus	0.240484	Tissierella
35738.0	1485	genus	0.217939	Clostridium
35738.0	2132	genus	0.210423	Spiroplasma
35738.0	165779	genus	0.184121	Anaerococcus
35738.0	244127	genus	0.165333	Anaerotruncus
35738.0	162289	genus	0.15406	Peptoniphilus
35738.0	39948	genus	0.124	Dialister
35738.0	189330	genus	0.116484	Dorea
35738.0	239934	genus	0.0976966	Akkermansia
35738.0	150022	genus	0.0939391	Finegoldia
35738.0	2740	genus	0.0789088	Peptococcus
35738.0	1505657	genus	0.0638786	Intestinibacter
35738.0	194	genus	0.0526059	Campylobacter
35738.0	1279	genus	0.0526059	Staphylococcus
35738.0	1200657	genus	0.0488483	Saccharofermentans
35738.0	1301	genus	0.0488483	Streptococcus
35738.0	1578	genus	0.0450907	Lactobacillus
35738.0	184869	genus	0.0413332	Varibaculum
35738.0	35832	genus	0.0375756	Bilophila
35738.0	2050	genus	0.0187878	Mobiluncus
35738.0	118966	genus	0.0187878	Anaerorhabdus
35738.0	482	genus	0.0187878	Neisseria
35738.0	79206	genus	0.0187878	Desulfosporosinus
35738.0	86331	genus	0.0187878	Mogibacterium
35738.0	207244	genus	0.0187878	Anaerostipes
35738.0	990721	genus	0.0150302	Christensenella
35738.0	1243	genus	0.0150302	Leuconostoc
35738.0	100175	genus	0.0150302	Papillibacter
35738.0	46255	genus	0.0150302	Weissella
35738.0	84111	genus	0.0112727	Eggerthella
35738.0	2701	genus	0.0112727	Gardnerella
35738.0	830	genus	0.0112727	Butyrivibrio
35738.0	286	genus	0.0112727	Pseudomonas
35738.0	1654	genus	0.0112727	Actinomyces
35738.0	29465	genus	0.0112727	Veillonella
35738.0	846	genus	0.0112727	Oxalobacter
35738.0	1386	genus	0.0112727	Bacillus
