ncbi_taxon_id	taxon_rank_level	relative_abundance	scientific_name
1559	species	0.167413	Clostridium tertium
39497	species	0.16249	Eubacterium xylanophilum
28116	species	0.157566	Bacteroides ovatus
36835	species	0.147718	[Clostridium] colinum
1308	species	0.142794	Streptococcus thermophilus
105841	species	0.13787	Anaerostipes caccae
35760	species	0.132946	Bifidobacterium choerinum
78342	species	0.118174	Bifidobacterium gallicum
143393	species	0.118174	[Eubacterium] sulci
645466	species	0.11325	Anaerostipes butyraticus
36745	species	0.108326	Clostridium saccharoperbutylacetonicum
1541	species	0.108326	Terrisporobacter mayombei
301301	species	0.0984785	Roseburia hominis
28118	species	0.0935546	Odoribacter splanchnicus
341225	species	0.0886307	[Clostridium] saccharogumia
33035	species	0.0837067	Blautia producta
84032	species	0.0787828	[Clostridium] thermosuccinogenes
47678	species	0.0738589	Bacteroides caccae
246787	species	0.068935	Bacteroides cellulosilyticus
1512	species	0.068935	[Clostridium] symbiosum
208479	species	0.064011	[Clostridium] bolteae
61171	species	0.064011	Holdemania filiformis
626930	species	0.0590871	Bacteroides fluxus
29375	species	0.0590871	[Clostridium] xylanolyticum
1303	species	0.0590871	Streptococcus oralis
33038	species	0.0492393	[Ruminococcus] gnavus
29370	species	0.0443153	[Clostridium] sphenoides
626937	species	0.0443153	Christensenella minuta
1161942	species	0.0393914	Ruminococcus champanellensis
46506	species	0.0393914	Bacteroides stercoris
61435	species	0.0344675	Dehalococcoides mccartyi
1465754	species	0.0344675	Alistipes timonensis
84030	species	0.0344675	[Clostridium] saccharolyticum
818	species	0.0344675	Bacteroides thetaiotaomicron
78343	species	0.0344675	Bifidobacterium boum
33039	species	0.0344675	[Ruminococcus] torques
166486	species	0.0295436	Roseburia intestinalis
1660	species	0.0295436	Actinomyces odontolyticus
39491	species	0.0295436	[Eubacterium] rectale
650643	species	0.0246196	Alistipes sp. RMA 9912
28446	species	0.0246196	[Clostridium] propionicum
356829	species	0.0246196	Bifidobacterium tsurumiense
1755629	species	0.0246196	Victivallis sp. MC_44
39488	species	0.0246196	[Eubacterium] hallii
53443	species	0.0196957	Blautia hydrogenotrophica
341220	species	0.0196957	Lactonifactor longoviformis
1382	species	0.0196957	Atopobium parvulum
28037	species	0.0196957	Streptococcus mitis
35785	species	0.0196957	Clostridium maximum
29354	species	0.0196957	[Clostridium] celerecrescens
204516	species	0.0196957	Bacteroides massiliensis
1532	species	0.0196957	Blautia coccoides
180164	species	0.0147718	Blautia schinkii
39490	species	0.0147718	Eubacterium ramulus
1307	species	0.0147718	Streptococcus suis
35517	species	0.0147718	[Eubacterium] brachy
471189	species	0.0147718	Gordonibacter pamelaeae
1496	species	0.0147718	Clostridioides difficile
329854	species	0.0147718	Bacteroides intestinalis
1265	species	0.0147718	Ruminococcus flavefaciens
983706	species	0.0147718	Bifidobacterium reuteri
1282	species	0.00984785	Staphylococcus epidermidis
